Care Setting,Care Activities,Care Activity Bundle,Aspect of Practice,Environmental Services Worker (Housekeeper),Health Care Assistant,Unit Clerk,Indigenous Liaison,Physiotherapist,Occupational Therapist,Respiratory Therapist,Social Worker,Combined Laboratory/X-Ray Technologist,Diagnostic Medical Sonographer,Computed Tomography Technologist,Mammography Technologist,Nuclear Medicine Technologist,Radiological Technologist,Medical Laboratory Assistant,Medical Laboratory Technologist,Advanced Care Paramedic,Community Care Paramedic,Critical Care Paramedic,Primary Care Paramedic,Clinical Pharmacist,Pharmacy Assistant,Pharmacy Technician,Rehabilitation Assistant,Licensed Practical Nurse,Registered Nurse,Registered Psychiatric Nurse
Emergency Department,Consult with BCEHS or other provider before patient arrives/repatriates to confirm most appropriate facility,Triage,Aspect of Practice,N,N,N,N,LC,LC,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y
Emergency Department,Order pre-treatment before patient arrives with BCEHS or other provider,Triage,Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Emergency Department,Scan / Screen waiting room for change in patient condition - report to Triage Nurse,Triage,Task,Y,Y,N,N,Y,Y,Y,LC,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,LC,Y,Y
Emergency Department,Assess changing conditions of patients in waiting room,Triage,Aspect of Practice,N,N,N,N,Y,LC,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,LC,Y,LC
Emergency Department,"Greet public, redirect people as required",Triage,Task,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,LC,Y,LC,Y,Y,Y,Y,N,Y,Y,LC,Y,Y,Y
Emergency Department,Taking a patient or ambulance call for potential ED patients,Triage,Aspect of Practice,N,N,N,N,LC,LC,LC,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,N,Y,Y
Emergency Department,Register ED patient,Triage,Task,N,LC,LC,N,LC,LC,LC,N,N,N,N,Y,Y,N,Y,N,LC,LC,LC,LC,N,N,N,LC,LC,LC,LC
Emergency Department,Perform initial patient assessment and assign CTAS score,Triage,Aspect of Practice,N,N,N,N,LC,LC,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y
Emergency Department,Apply gauze to a cut or wound,Triage,Task,N,LC,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,LC,LC,Y,Y
Emergency Department,"Stabilize limb with sling or splint  (e.g. sprain, broken bone)",Triage,Task,N,LC,N,N,LC,LC,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,LC,Y,Y
Emergency Department,Transfer care from triage to emergency department bed/chair,Triage,Aspect of Practice,N,LC,N,N,Y,Y,Y,N,LC,LC,N,N,N,LC,N,LC,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,"Screen for patient ability to perform instrumental activities of daily living (IADLs): using the telephone, shopping, preparing meals, housekeeping, using transportation, taking medication(s), and managing finances",ADL and IADL,Task,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,LC,Y,LC,LC,Y,N,N,LC,Y,Y,Y
Emergency Department,"Assess for patient ability to perform instrumental activities of daily living (IADL): using the telephone, shopping, preparing meals, housekeeping, using transportation, taking medication(s), and managing finances",ADL and IADL,Aspect of Practice,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,LC,Y,LC,LC,Y,N,N,N,Y,Y,Y
Emergency Department,"Assist patients with instrumental activities of daily living (IADL): using the telephone, shopping, preparing meals, housekeeping, using transportation, taking medication(s), and managing finances",ADL and IADL,Task,N,Y,N,Y,Y,Y,LC,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y
Emergency Department,"Screen for patient ability to perform ADLs: bathing/showering, dressing, getting in/out of bed or a chair, walking, using the toilet, and eating",ADL and IADL,Task,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,LC,Y,LC,LC,Y,N,N,LC,Y,Y,Y
Emergency Department,"Assess for patient ability to complete ADLs: bathing/showering, dressing, getting in/out of bed or a chair, walking, using the toilet, and eating",ADL and IADL,Aspect of Practice,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,LC,Y,LC,LC,Y,N,N,N,Y,Y,Y
Emergency Department,"Assist patient with ADLs: bathing/showering, dressing, getting in/out of bed or a chair, walking, using the toilet, and eating",ADL and IADL,Task,N,Y,N,N,Y,Y,LC,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,Y,Y,Y
Emergency Department,Educate patient and family on use of adaptive equipment for ADLs/IADLs,ADL and IADL,Task,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,LC,N,N,Y,N,N,LC,Y,Y,Y
Emergency Department,Refer to community resources for support for ADLs/IADLs,ADL and IADL,Task,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y
Emergency Department,Educate patient to complete personal care tasks to support activities of daily living,ADL and IADL,Task,N,Y,N,Y,Y,Y,LC,Y,N,N,N,N,N,N,N,N,N,LC,N,N,N,N,N,LC,Y,Y,Y
Emergency Department,Perform oral care,ADL and IADL,Task,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,Y,Y,Y
Emergency Department,Assist with oral care,ADL and IADL,Task,N,Y,N,N,N,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,Y,Y,Y
Emergency Department,Assist with feeding patients on oral diet,ADL and IADL,Task,N,Y,N,Y,Y,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,Y,Y,Y
Emergency Department,Educate patient and family on use of adaptive equipment for activities of daily living,ADL and IADL,Task,N,N,N,Y,Y,Y,LC,N,N,N,N,N,N,N,N,N,N,LC,N,N,Y,N,N,LC,Y,Y,Y
Emergency Department,Assess airway,Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,LC,LC,LC
Emergency Department,Assess breathing (rate and depth),Assessments and Interventions,Aspect of Practice,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Conduct auscultation of lungs with stethoscope,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,Y,Y,Y
Emergency Department,"Assess heart rate, rhythm, sounds",Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,Y,Y,Y
Emergency Department,Assess peripheral pulses,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Assess for central and peripheral edema,Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,Y,Y,Y
Emergency Department,Assess Jugular Venous Distention,Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,LC,N,N,N,LC,LC,LC
Emergency Department,Assist patient to change into hospital gown,Assessments and Interventions,Task,N,LC,LC,LC,Y,Y,Y,LC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
Emergency Department,Assess level of consciousness and orientation (GCS),Assessments and Interventions,Aspect of Practice,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Assess pupils,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,LC
Emergency Department,Assess limb strength,Assessments and Interventions,Aspect of Practice,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,Screen for hot stroke using FAST VAN,Assessments and Interventions,Task,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,LC,N,N,LC,Y,Y,LC
Emergency Department,Screen for confusion or delirium,Assessments and Interventions,Task,N,N,N,N,Y,Y,N,LC,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,LC
Emergency Department,Perform Positive patient ID (PPID) at POC,Assessments and Interventions,Task,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y
Emergency Department,"Perform secondary assessment to determine diagnosis, including head-to-toe & systems",Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,N,Y,LC,LC
Emergency Department,Obtain complete vital sign - heart rate,Assessments and Interventions,Task,N,Y,N,N,Y,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign -  BP manually,Assessments and Interventions,Task,N,N,N,N,Y,y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign -  BP with machine,Assessments and Interventions,Task,N,Y,N,N,Y,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign - respiratory rate,Assessments and Interventions,Task,N,Y,N,N,Y,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign -  Temperature (non-rectal),Assessments and Interventions,Task,N,Y,N,N,Y,Y,Y,LC,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign -  Temperature (rectal),Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,LC
Emergency Department,Obtain vital sign -  SPO2,Assessments and Interventions,Task,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Obtain vital sign -  SPO2 on room air,Assessments and Interventions,Task,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,Y
Emergency Department,Assess vital signs and the significance of the findings,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,Y,LC,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Perform capilliary blood glucose point of care testing,Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,LC,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Assess the capillary blood glucose and the signficance of the finding,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Initiate infection prevention and control procedures,Assessments and Interventions,Aspect of Practice,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Emergency Department,Initiate decontamination procedures,Assessments and Interventions,Aspect of Practice,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,"Screen for Infection Diseases (e.g., C-Diff, TB etc.) ",Assessments and Interventions,Task,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,Y
Emergency Department,Assess pain,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Weigh patient,Assessments and Interventions,Task,N,Y,Y,Y,Y,Y,Y,LC,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Emergency Department,Insert peripheral intravenous catheter (PIV),Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,LC
Emergency Department,Administer IV fluids for any purpose,Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,Y,LC,N,N,N,N,LC,LC,LC
Emergency Department,Administer IV fluids for the purpose of managing hypovolemia,Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,Communicate assessment of patient with team,Assessments and Interventions,Aspect of Practice,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Apply dressing to wound,Assessments and Interventions,Task,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,LC,N,N,LC,Y,Y,LC
Emergency Department,Apply ice to traumatic limb swelling,Assessments and Interventions,Task,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,LC,Y,Y,N
Emergency Department,Order blood and blood products,Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Verify blood and blood products prior to administration,Assessments and Interventions,Task,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,LC,LC,LC
Emergency Department,Administer blood and blood products,Assessments and Interventions,Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,LC,Y,N,N,N,N,N,Y,LC,N
Emergency Department,Screen for intimate partner violence,Assessments and Interventions,Task,N,N,N,LC,LC,LC,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,Y,Y,LC
Emergency Department,Screen for adult abuse and neglect,Assessments and Interventions,Task,N,N,N,LC,LC,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,Y,Y,LC
Emergency Department,Report child maltreatment (mandatory),Assessments and Interventions,Task,N,N,N,LC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,LC
Emergency Department,Refer to advocacy and support services,Assessments and Interventions,Task,N,N,N,Y,Y,Y,LC,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,LC
Emergency Department,Develop safety plan for adult abuse and neglect,Assessments and Interventions,Aspect of Practice,N,N,N,LC,LC,LC,LC,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Emergency Department,Consult with SCAN (Suspected Child Abuse & Neglect) clinic,Assessments and Interventions,Aspect of Practice,N,N,N,LC,LC,LC,LC,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Emergency Department,Document AGG/Aggressive Alert,Assessments and Interventions,Task,N,N,N,Y,Y,Y,N,Y,N,LC,LC,N,N,LC,N,N,LC,LC,LC,LC,N,N,N,N,Y,Y,Y
Emergency Department,Call a Code White for aggressive behaviour,Assessments and Interventions,Task,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
Emergency Department,Respond to a Code White call,Assessments and Interventions,Aspect of Practice,N,LC,LC,LC,LC,LC,N,LC,N,N,N,LC,LC,N,LC,N,N,N,Y,N,LC,LC,LC,LC,Y,Y,LC
